roc_auc,tp,fp,tn,fn,tpr,tnr,geometric_mean,arithmetic_mean,f1_score,precision,elapsed,minority_size,embedding_type,dropped_columns,max_depth,threshold
0.847228,20114,8531756,21247469,5014,0.800462,0.7135,0.755731,0.756981,0.00469,0.002352,10149.685157,0.08431,catboost,nppes_provider_state,8,0.000843
0.911457,21351,6064708,23714517,3777,0.84969,0.796344,0.822585,0.823017,0.006988,0.003508,12321.148815,0.08431,catboost,,8,0.000843
0.847874,20247,8657774,21121451,4882,0.805722,0.709268,0.755958,0.757495,0.004653,0.002333,9946.953071,0.084313,catboost,nppes_provider_state,8,0.000843
0.900561,21097,6033773,23745452,4032,0.839548,0.797383,0.818194,0.818466,0.00694,0.003484,12057.352431,0.084313,catboost,,8,0.000843
0.848214,20104,8424509,21354717,5025,0.800032,0.717101,0.757432,0.758566,0.004747,0.002381,10029.77175,0.084313,catboost,nppes_provider_state,8,0.000843
0.91344,21349,5998049,23781177,3780,0.849576,0.798583,0.823685,0.824079,0.007064,0.003547,12079.771302,0.084313,catboost,,8,0.000843
0.845637,20101,8617598,21161628,5028,0.799912,0.710617,0.753944,0.755265,0.004641,0.002327,10045.542041,0.084313,catboost,nppes_provider_state,8,0.000843
0.90922,21172,5992015,23787211,3957,0.842533,0.798785,0.820367,0.820659,0.007013,0.003521,12178.487915,0.084313,catboost,,8,0.000843
0.846213,20023,8478040,21301186,5106,0.796808,0.715304,0.754957,0.756056,0.004698,0.002356,9822.179899,0.084313,catboost,nppes_provider_state,8,0.000843
0.84592,20079,8556626,21222599,5049,0.799069,0.712665,0.754631,0.755867,0.004669,0.002341,9852.62306,0.08431,catboost,nppes_provider_state,8,0.000843
0.91741,21642,6047425,23731801,3487,0.861236,0.796925,0.828457,0.82908,0.007102,0.003566,12320.935241,0.084313,catboost,,8,0.000843
0.846535,20246,8714166,21065059,4883,0.805683,0.707374,0.75493,0.756528,0.004623,0.002318,9776.958232,0.084313,catboost,nppes_provider_state,8,0.000843
0.911104,21346,6038072,23741153,3782,0.849491,0.797239,0.82295,0.823365,0.007016,0.003523,12110.511742,0.08431,catboost,,8,0.000843
0.849999,20211,8523738,21255488,4918,0.80429,0.713769,0.757679,0.759029,0.004717,0.002366,9965.538315,0.084313,catboost,nppes_provider_state,8,0.000843
0.898727,20839,6003651,23775574,4290,0.829281,0.798395,0.813691,0.813838,0.006889,0.003459,11798.737992,0.084313,catboost,,8,0.000843
0.848417,20257,8598261,21180965,4872,0.80612,0.711266,0.75721,0.758693,0.004687,0.00235,10026.132914,0.084313,catboost,nppes_provider_state,8,0.000843
0.912035,21359,6045578,23733648,3770,0.849974,0.796987,0.823054,0.82348,0.007012,0.003521,12085.476649,0.084313,catboost,,8,0.000843
0.847705,20083,8426117,21353109,5046,0.799196,0.717047,0.757008,0.758122,0.004741,0.002378,10105.630312,0.084313,catboost,nppes_provider_state,8,0.000843
0.908606,21218,5990137,23789089,3911,0.844363,0.798848,0.821291,0.821606,0.00703,0.00353,12089.468292,0.084313,catboost,,8,0.000843
0.84687,19995,8420739,21358486,5133,0.795726,0.717228,0.755458,0.756477,0.004724,0.002369,9985.291948,0.08431,catboost,nppes_provider_state,8,0.000843
0.847449,20117,8481340,21297885,5012,0.800549,0.715193,0.756668,0.757871,0.004719,0.002366,10038.313198,0.084313,catboost,nppes_provider_state,8,0.000843
0.907281,21096,6053462,23725764,4033,0.839508,0.796722,0.817835,0.818115,0.006917,0.003473,11933.802915,0.084313,catboost,,8,0.000843
0.847213,20047,8468730,21310496,5082,0.797764,0.715616,0.755574,0.75669,0.004709,0.002362,9795.623693,0.084313,catboost,nppes_provider_state,8,0.000843
0.900462,20870,5990096,23789129,4258,0.830548,0.79885,0.814545,0.814699,0.006915,0.003472,11764.751698,0.08431,catboost,,8,0.000843